evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10
131 -0.6051871326 0.015515 0.032528 -0.352578 0.202792 0.031345 0.436329 -0.117904 0.446739 0.773532 -0.422564 -1.000000
132 -0.5664023237 -0.435362 -0.157605 -0.309985 -0.255818 -0.596545 0.179110 0.045660 -0.075686 -0.530205 0.033509 -0.789061
133 -0.6838630520 -0.251804 0.068890 -0.478064 0.149023 -0.391554 0.334459 0.036468 0.411917 0.301990 0.002595 -1.000000
134 -0.6486405302 -0.229396 -0.246654 -0.082693 -0.024938 0.059540 0.276219 -0.199380 -0.034807 -0.100999 -0.441120 -0.777223
135 -0.5613652817 -0.209717 -0.004270 -0.362734 0.117719 -0.292997 -0.202779 0.040196 -0.054392 0.220871 -0.191541 -0.789583
136 -0.6249646459 -0.271483 -0.173494 -0.198023 0.006366 -0.039017 0.813458 -0.203108 0.431502 -0.019879 -0.246984 -1.000000
137 -0.5506124945 -0.555244 0.094540 -0.126499 -0.012788 -0.198568 -0.069534 -0.187086 0.013585 0.624223 -0.260206 -0.913920
138 -0.4980614553 0.074044 -0.272304 -0.434258 0.136872 -0.133447 0.680213 0.024174 0.363525 -0.423232 -0.178320 -0.956986
139 -0.6786957742 -0.249324 0.024306 -0.181277 -0.226417 -0.330246 0.628571 -0.111031 0.268353 0.067202 -0.276782 -0.866439
140 -0.7645262096 -0.231876 -0.202070 -0.379480 0.350502 -0.001768 -0.017893 -0.051881 0.108757 0.133789 -0.161743 -1.000000
141 -0.4722328580 -0.457054 0.175689 -0.614844 0.285024 -0.164194 0.393768 0.081331 0.037449 0.296806 -0.260489 -0.810046
142 -0.6320067272 -0.024146 -0.353453 0.054087 -0.160940 -0.167820 0.216911 -0.244243 0.339661 -0.095815 -0.178036 -1.000000
143 -0.7409022942 -0.076684 0.027915 -0.164423 0.385646 -0.035599 -0.033275 0.070555 0.300466 0.081904 -0.124404 -1.000000
144 -0.5493732046 -0.347626 -0.116172 -0.417891 0.000510 -0.085370 0.233489 0.018933 0.247426 -0.118312 -0.065586 -0.649920
145 -0.1975072776 0.078587 -0.140358 -0.298005 0.527133 -0.371855 0.172884 -0.284391 -0.104126 0.203017 -0.306035 -0.746713
146 -0.6724941397 -0.470390 -0.012475 -0.315962 -0.019554 0.162458 0.051716 0.250091 0.541851 0.059662 0.010046 -1.000000
147 -0.7014672988 -0.273706 0.047513 -0.383056 0.175096 -0.228109 0.296038 0.050686 0.378357 0.250303 -0.169543 -0.966911
148 -0.7275865470 -0.118097 -0.200347 -0.230910 0.332483 0.018711 -0.071437 -0.084987 0.059368 0.012375 -0.126446 -0.987650
149 -0.6739958746 -0.125760 0.149042 -0.489079 0.558547 -0.376308 0.167447 -0.078773 0.651358 0.017428 0.024657 -1.000000
150 -0.5014959111 -0.266044 -0.301876 -0.124887 -0.050968 0.166910 0.057153 0.044472 -0.213633 0.245250 -0.320646 -0.597380
151 -0.4308776071 -0.304260 -0.010274 -0.399997 0.630979 -0.311344 0.036041 0.235094 0.501025 0.104081 -0.385524 -0.773452
152 -0.7329066913 -0.087543 -0.142560 -0.213969 -0.123400 0.101946 0.188560 -0.269395 -0.063299 0.158598 0.089535 -1.000000
